-0.60623	0.97411	0.72079	3.2289	1.8016	0.42635	1.122	-0.31759	-0.76498	-1.5998	-0.75201	-0.69631	-1.0144	1.2424	-2.4789	-0.663	-1.1689	-1.2162	-0.26808
1.7175	-0.58585	1.253	0.82306	0.66216	1.5149	-0.066399	-0.85291	0.64409	2.3953	1.883	0.44695	-0.58332	-0.31635	0.15146	0.18375	1.3481	-1.9022	0.28235
-1.9061	-1.2767	0.13208	-1.7639	0.81524	0.48733	-0.088845	-0.38149	-0.55698	0.54806	0.4188	0.47121	0.37947	0.55842	-0.65439	-0.26847	-1.1078	-1.6326	-0.75063
0.90599	1.3538	-0.66989	1.4417	0.90492	-0.2789	-0.51045	1.2359	-0.98534	-1.5841	-0.97559	-0.57549	0.088188	0.73462	-2.0302	0.65657	0.044956	0.98344	0.24096
-0.68533	-0.57711	-0.043453	0.97056	1.1009	0.33778	-0.65991	0.62899	-0.54005	-1.0041	1.1508	2.1399	0.89577	-0.72113	-0.5918	0.48959	0.24137	-1.4049	-0.66417
-1.9783	-0.042418	0.76547	-0.43572	1.0166	-0.25934	-0.70433	0.23153	-1.1709	0.99544	1.4915	0.98989	-0.96542	0.19641	0.50422	0.13443	-0.32304	-0.34287	-0.30009
-0.074222	-0.34628	-0.31984	2.1538	-0.2008	0.10481	-0.017848	-0.052315	-0.26444	0.78302	-0.67833	-0.87005	-1.7365	1.057	-0.92032	-0.22081	0.18144	0.52636	1.3706
-0.43321	-0.93958	0.00041686	0.16046	0.16437	0.36817	-1.0026	0.20752	-1.166	-2.2507	-0.95846	-1.2162	0.37214	1.3765	-3.0229	0.19759	-0.78755	-1.2373	-0.72165
3.172	-1.8204	0.31324	0.62694	-1.0037	-0.26502	2.4476	-1.5783	1.7162	0.92422	-0.0795	1.3558	1.257	-3.1377	1.8774	-2.4744	-2.2918	-1.096	-0.45183
2.1655	0.64015	-2.4713	-0.1644	0.79468	0.58839	0.80437	-0.038318	0.13272	0.2464	-0.83048	-1.2782	0.016701	-0.080466	-0.46179	-0.071078	-0.034896	0.13623	-1.3336
-2.1921	1.7132	0.52932	-1.6615	1.4085	1.6835	1.1873	1.0482	0.12931	-0.86963	1.644	0.50064	0.70998	0.25556	-0.84288	-0.8018	-1.5257	-0.51771	2.174
2.6691	1.7007	-1.1298	-0.95317	2.1295	2.3532	0.37493	-0.35653	-0.66927	0.90203	-0.32639	0.87443	0.53854	-1.0866	1.9935	0.36898	1.1075	1.2602	1.0338
1.2205	-2.1108	-0.6257	0.069647	0.058643	0.14474	1.5667	-2.0758	0.17662	1.9045	-0.64782	0.6216	-0.47824	-0.010681	1.2736	-0.43162	0.33183	-0.15897	0.82469
-0.6001	0.043413	-0.42316	-0.93404	-0.718	-0.61141	-2.2595	-1.2776	0.85516	-0.85039	-0.47694	-1.2919	0.29551	-1.6546	0.27705	-0.38504	-1.9481	-1.9833	-0.38238
0.32569	-1.5854	0.044237	0.4059	-0.51556	-0.20509	0.54892	-0.37828	0.38337	-0.3798	-0.91928	0.063148	-0.47781	0.01657	-0.42537	-0.43914	0.33991	-0.70319	0.54835
-1.0537	-0.018982	1.0668	-1.6172	0.5187	-0.48904	0.30438	-1.1285	-0.81047	-0.75112	-0.20092	-0.59148	-0.22476	-1.173	-1.1395	-0.51039	-1.4831	-1.639	-1.4922
