GRMZM2G086553	GRMZM2G086541	GRMZM2G086474	GRMZM2G086403	GRMZM2G173429	GRMZM2G162640	GRMZM2G397684	GRMZM2G098676	GRMZM2G152135	GRMZM2G454399	GRMZM5G894619	GRMZM2G040673	GRMZM2G040359	GRMZM2G016477	GRMZM2G105855	GRMZM2G305146	GRMZM2G134703	GRMZM2G414915	GRMZM2G702514	AC199382.3_FG005	GRMZM2G018018	GRMZM2G424112
0.223213218	-0.174575701	0.998710851	0.188425032	0.343824517	1.825439172	-0.508057465	0.167663737	0.862182757	1.021399468	0.987557182	0.133217035	1.757666049	2.998020796	-1.080563549	-0.336607179	0.785662535	1.044626445	0.044289159	0.064754379	-0.078412413	-1.240815502
-0.003405752	-1.143773961	0.462083086	0.078412413	0.140092436	-0.146974467	0.35105981	-0.776421761	-1.368372038	-2.998020796	-1.441453795	0.343824517	1.318010897	-1.33442315	0.336607179	-0.279460686	-0.976525035	-0.098927729	-0.872103029	-2.998020796	-2.998020796	-0.976525035
0.216235289	-0.531447525	1.825439172	0.696025208	1.068431117	0.112627241	0.358313528	0.030656506	-0.365586148	1.044626445	1.669043821	0.636490883	-2.998020796	0.315058297	-0.078412413	1.301946185	-0.628171949	0.987557182	-0.409646587	-2.645701413	0.037471962	-0.133217035
0.571095686	0.126347925	-0.343824517	-0.619896262	0.216235289	-0.044289159	-0.563095926	-0.153863466	0.244213829	0.670220259	-0.272384894	-0.636490883	1.117953259	0.216235289	0.030656506	-0.484942137	0.508057465	-0.265322712	-0.417065588	0.293654744	-0.571095686	-1.697120332
0.402250065	0.6448541	2.045954276	-0.023842473	-1.568142731	-0.078412413	-0.653262666	-0.6448541	0.539308633	-2.645701413	-0.230202032	0.500322766	2.171527717	0.696025208	-0.758136008	0.91267586	-0.619896262	0.188425032	-2.998020796	1.403975696	-0.484942137	-1.501786817
-0.661717677	1.184000049	0.653262666	-0.523619123	-0.595318735	0.636490883	-0.272384894	-0.547203211	-1.184000049	-0.300773842	0.628171949	-0.112627241	-2.645701413	1.422465003	-0.119484771	-1.441453795	0.126347925	-0.153863466	-0.230202032	-2.468001988	1.117953259	0.547203211
1.044626445	0.133217035	-0.636490883	-0.037471962	-0.45451733	-0.322224522	-0.329407333	-0.174575701	0.153863466	-0.223213218	2.171527717	1.130769373	-2.468001988	-0.237202109	0.862182757	-0.051108415	1.056453949	-0.661717677	-0.265322712	-2.345104662	-0.216235289	1.862731867
-1.156974916	-0.74010031	-0.293654744	-0.343824517	-1.351202935	-0.965610478	0.731172307	-1.616536998	-0.6448541	-2.468001988	-1.068431117	1.255660378	-2.345104662	0.872103029	2.345104662	-0.785662535	0.358313528	0.555132042	-2.645701413	-2.249880663	1.902810954	0.09208509
-0.696025208	2.468001988	2.998020796	1.211918765	2.645701413	2.468001988	1.226239142	2.998020796	2.645701413	-2.345104662	1.993601218	2.645701413	1.032943298	2.468001988	-2.998020796	2.645701413	1.009990169	2.345104662	-2.249880663	0.216235289	-2.345104662	0.823319923
0.167663737	-0.954809756	-0.387522319	0.105775004	-0.279460686	0.343824517	-0.555132042	-0.7490877	1.460977052	-0.35105981	-1.351202935	0.146974467	-2.249880663	0.687372812	-1.032943298	-0.477294855	1.726602201	0.794970891	0.687372812	-2.171527717	1.697120332	0.619896262
