-0.83607	1.6796	-0.020275	-1.9603	0.044727	0.49747	-1.9121	0.0093817	0.55012	1.813	1.7454	0.14656	-0.32804	0.97349	-0.48766	0.26471	0.59105	1.6756	-0.58298	1.2982	-1.2558	-0.55014
-0.98851	-0.87997	-0.75121	-1.2382	-0.049974	-1.3718	0.87979	-0.17223	-0.78396	0.31824	1.6202	-0.17877	-0.97001	-1.4082	-1.5746	-0.64027	-1.0209	-0.329	-0.8551	1.2123	0.63903	0.63114
0.27607	-0.4365	-1.3153	0.30382	-0.16982	-0.2816	1.0867	0.15925	0.99981	-0.5631	0.080421	0.018498	-1.3021	-0.012187	0.25233	-1.2024	-0.073708	0.5709	1.0874	1.8783	1.0401	3.4298
-0.85301	0.71767	-0.14484	-1.1672	-0.86101	0.30864	0.073004	0.11338	-0.86896	0.88115	-0.56664	0.28923	-0.71547	-0.54466	-0.77824	0.92566	-1.0122	-0.278	0.10165	0.21256	-0.67312	-0.22066
0.17294	1.0229	-0.53286	-0.66776	1.1695	0.39925	0.11312	-1.3423	-0.8847	0.71065	-1.2111	0.18803	0.91637	1.214	-0.56623	-0.053177	0.60918	0.8513	0.51207	-0.81291	1.2645	0.75192
-0.2771	0.22315	-1.1191	1.4777	-0.36433	-0.027795	-0.071809	-1.236	-0.41675	1.4725	-1.3297	-0.26928	1.1105	0.006386	0.93913	-0.54724	0.68671	1.3208	-0.47275	-0.05065	0.58721	-2.1708
0.32734	0.21071	-0.19087	0.081145	1.1544	0.10837	0.80014	0.30199	-0.4122	-1.6198	-0.56092	0.15816	0.72362	-0.5164	1.4328	-1.1497	-0.60649	-0.18531	-0.4281	0.66515	0.15963	0.37174
1.4711	0.67019	-1.0076	-0.021062	0.15397	1.0197	-0.72359	-2.4734	-1.4955	0.12881	-0.72801	-0.64023	-1.6311	-0.51848	1.4196	-0.4529	1.0946	-0.033633	0.64745	-1.8734	1.6282	1.0606
0.033023	1.5974	3.5549	1.5163	3.0213	3.0267	0.86186	3.7233	1.5114	0.16185	2.6722	0.75965	0.59106	3.35	-1.6548	-0.063171	0.9701	1.4032	-0.34427	0.10011	-1.2881	0.57682
-0.44803	0.49964	2.024	0.54078	0.79589	0.29604	1.0878	-0.10927	-0.019111	-0.71642	-0.46918	1.0716	-0.53779	0.21404	1.184	-0.086629	0.025794	-0.29866	-1.2428	0.26564	-0.80381	-0.61789
